;KEY;CowKEY;Records source;Farm;Cow Code;Cow Name;Calving No;CowCalvingKEY;Date;Week;CowCalvPeakProdAvg;CowCalvPeakProdAvgDIM;DistProdToday;DistProdAvg;DistFarm;DistFPM;DistWeight;DistJaanos;DistSyo;DistLyps;AngleProdToday;AngleProdAvg;AngleFarm;AngleFPM;AngleWeight;AngleJaanos;AngleSyo;AngleLyps;SlopeProdToday;SlopeProdAvg;SlopeFarm;SlopeFPM;SlopeWeight;SlopeJaanos;SlopeSyo;SlopeLyps;DiffProdToday;DiffProdAvg;DiffFarm;DiffFPM;DiffWeight;DiffJaanos;DiffSyo;DiffLyps;DiffDIM;DIM-P2;DIM-P1;Lypsy-P2;Lypsy-P1;Syo-P2;Syo-P1;Jaanos-P2;Jaanos-P1;Weight-P2;Weight-P1;FeedPerMilk-P2;FeedPerMilk-P1;FarmProd-P2;FarmProd-P1;ProdAvg-P2;ProdAvg-P1;ProdToday-P2;ProdToday-P1;Unnamed: 63
4740;LR-103545-242-Liira-20170607-1-76-28,7;LR-103545-242-Liira;LR;103545;242;Liira;1;103545-242-Liira-1;20170607;23;28,7;76;22,47576473;22,30896681;22,00003282;22,00000657;22,56102835;22,09437938;22,0061446;22,0184014;0,206121342;0,166622516;0,001727271;-0,000772727;-0,223476601;-0,092462868;0,023631963;0,040886293;0,209090909;0,168181818;0,001727273;-0,000772727;-0,227272727;-0,092727273;0,023636364;0,040909091;4,6;3,7;0,038;-0,017;-5;-2,04;0,52;0,9;22;48;26;2,9;2;5;4,48;4,09;6,13;443;448;0,162;0,179;29,052;29,014;28,7;25;30,1;25,5;
4743;LR-103545-257-Mimosa-20170920-1-59-20,8;LR-103545-257-Mimosa;LR;103545;257;Mimosa;1;103545-257-Mimosa-1;20170920;38;30,3;59;15,00533239;17,08917786;14,32477187;14,00000289;14,31782106;14,00000357;14,02115901;14,14213562;0,368130771;0,610725964;-0,2133459;-0,000642857;-0,211093333;-0,000714286;0,054944642;0,141897055;0,385714286;0,7;-0,216642857;-0,000642857;-0,214285714;-0,000714286;0,055;0,142857143;5,4;9,8;-3,033;-0,009;-3;-0,01;0,77;2;14;23;9;4;2;4,1;3,33;6,08;6,09;526;529;0,137;0,146;25,584;28,617;29,8;20;30;24,6;
4759;LR-103688-1200-Lempi-20170630-2-56-63,9;LR-103688-1200-Lempi;LR;103688;1200;Lempi;2;103688-1200-Lempi-2;20170630;26;58,4;56;17,7428859;14,00892573;14,01403329;14,000175;14;14,00343172;14,12566459;14,01285124;-0,661537484;0,035699113;-0,044755807;0,004999958;0;0,022139239;0,133487161;0,042830933;-0,778571429;0,035714286;-0,044785714;0,005;0;0,022142857;0,134285714;0,042857143;-10,9;0,5;-0,627;0,07;0;0,31;1,88;0,6;14;28;14;4,9;4,3;6,34;4,46;0,31;0;0;0;0,162;0,092;35,037;35,664;43,5;43;38,1;49;
4761;LR-103688-1-Lenita-20160816-1-77-28,9;LR-103688-1-Lenita;LR;103688;1;Lenita;1;103688-1-Lenita-1;20160816;34;27,8;77;25,19146681;25,17935662;25,00462679;25,00000128;25;25,05571591;25,00057799;25,00179994;0,123370258;0,119428926;-0,019237626;-0,00032;0;0,066700906;0,006799895;0,011999424;0,124;0,12;-0,01924;-0,00032;0;0,0668;0,0068;0,012;3,1;3;-0,481;-0,008;0;1,67;0,17;0,3;25;48;23;3;2,7;3,24;3,07;6,03;4,36;0;0;0,118;0,126;35,918;36,399;27,5;24,5;27,7;24,6;
4785;LR-103794-780-Kassu-20170622-2-86-56,3;LR-103794-780-Kassu;LR;103794;780;Kassu;2;103794-780-Kassu-2;20170622;25;55,1;86;28,55678553;28,52437554;27,01427186;27,00000535;34,82814953;27,00000185;27,06330542;27,00074073;0,331717002;0,328402341;-0,032507064;0,00062963;-0,683709312;-0,00037037;0,068411593;0,007407272;0,344444444;0,340740741;-0,032518519;0,00062963;-0,814814815;-0,00037037;0,068518519;0,007407407;9,3;9,2;-0,878;0,017;-22;-0,01;1,85;0,2;27;36;9;4,1;3,9;6,79;4,94;0,11;0,12;652;674;0,138;0,121;30,856;31,734;49;39,8;51,4;42,1;
4799;LR-103798-1458-P,Montana-20180423-1-93-35,7;LR-103798-1458-P,Montana;LR;103798;1458;P,Montana;1;103798-1458-P,Montana-1;20180423;17;36,8;93;15,69745202;14,0014285;14,00166619;14,00006004;14;14,00001429;14,00300325;14,06022759;-0,469345553;-0,014284743;0,015427347;0,002928563;0;0,00142857;0,020711324;0,09259163;-0,507142857;-0,014285714;0,015428571;0,002928571;0;0,001428571;0,020714286;0,092857143;-7,1;-0,2;0,216;0,041;0;0,02;0,29;1,3;14;59;45;4,7;3,4;5,95;5,66;0,13;0,11;0;0;0,183;0,142;36,001;35,785;36,2;36,4;32,4;39,5;
4805;LR-103798-197-Kelli-20180122-3-52-52,5;LR-103798-197-Kelli;LR;103798;197;Kelli;3;103798-197-Kelli-3;20180122;4;53,2;52;11,13597773;11,61077086;10,01234283;10,00000125;10;10,10172758;10,03275137;10,0124922;-0,455615653;0,53303411;0,049659139;-0,0005;0;0,142037052;-0,080823547;0,049958396;-0,49;0,59;0,0497;-0,0005;0;0,143;-0,081;0,05;-4,9;5,9;0,497;-0,005;0;1,43;-0,81;0,5;10;21;11;3,6;3,1;6,42;7,23;1,56;0,13;0;0;0,162;0,167;36,165;35,668;45,8;39,9;39,5;44,4;
4816;LR-103798-270-LNuotti-20180108-2-53-49;LR-103798-270-LNuotti;LR;103798;270;LNuotti;2;103798-270-LNuotti-2;20180108;2;47,3;53;14,40694277;15,19243233;14,06853827;14,00000229;14;14,00000357;14,04159535;14,00892573;0,238244758;0,39884173;-0,098749191;0,000571429;0;-0,000714286;0,076990375;-0,035699113;0,242857143;0,421428571;-0,099071429;0,000571429;0;-0,000714286;0,077142857;-0,035714286;3,4;5,9;-1,387;0,008;0;-0,01;1,08;-0,5;14;26;12;3,4;3,9;7;5,92;0,11;0,12;0;0;0,163;0,155;35,668;37,055;43,5;37,6;43;39,6;
4831;LR-103798-440-Nietos-20180122-1-49-30,1;LR-103798-440-Nietos;LR;103798;440;Nietos;1;103798-440-Nietos-1;20180122;4;32,2;49;13,5882302;11,31768528;10,01234283;10,00023805;10;10,01920156;10,00881611;10,00449899;0,743755584;0,48735858;0,049659139;-0,006899891;0;-0,06192074;0,04197533;-0,029991005;0,92;0,53;0,0497;-0,0069;0;-0,062;0,042;-0,03;9,2;5,3;0,497;-0,069;0;-0,62;0,42;-0,3;10;18;8;1,6;1,9;4,06;3,64;0,05;0,67;0;0;0,175;0,244;36,165;35,668;19,7;14,4;25,3;16,1;
4832;LR-103798-441-Nalli-20180306-1-51-37;LR-103798-441-Nalli;LR;103798;441;Nalli;1;103798-441-Nalli-1;20180306;10;37,3;51;19,20937271;20,3823453;15,11524955;15,00003203;15;15,1619293;15,17682773;15,20690633;0,674740942;0,743755584;-0,123567225;0,002066664;0;-0,146280946;0,152799614;0,165148677;0,8;0,92;-0,1242;0,002066667;0;-0,147333333;0,154;0,166666667;12;13,8;-1,863;0,031;0;-2,21;2,31;2,5;15;23;8;3,6;1,1;4,34;2,03;0,09;2,3;0;0;0,124;0,093;34,752;36,615;35,2;21,4;35,4;23,4;
4835;LR-103798-6145-Nyvonne-20180320-1-57-34;LR-103798-6145-Nyvonne;LR;103798;6145;Nyvonne;1;103798-6145-Nyvonne-1;20180320;12;34,4;57;14,27725464;15,19243233;14,00071002;14,00004629;14;14;14,12433715;14,01748908;0,19739556;0,39884173;0,010071088;0,002571423;0;0;0,132785461;0,049958396;0,2;0,421428571;0,010071429;0,002571429;0;0;0,133571429;0,05;2,8;5,9;0,141;0,036;0;0;1,87;0,7;14;29;15;3,4;2,7;5,23;3,36;0,08;0,08;0;0;0,154;0,118;34,893;34,752;33,3;27,4;33,5;30,7;
4836;LR-103798-629-Jelppi-20180206-3-47-55,7;LR-103798-629-Jelppi;LR;103798;629;Jelppi;3;103798-629-Jelppi-3;20180206;6;56,3;47;43,09477927;42,81927136;17,00010944;17,00057646;17;17,26616344;17,87373492;17,53539278;1,165295156;1,162531355;-0,00358822;0,008235108;0;-0,175812908;0,313965857;0,247744908;2,329411765;2,311764706;-0,003588235;0,008235294;0;-0,177647059;0,324705882;0,252941176;39,6;39,3;-0,061;0,14;0;-3,02;5,52;4,3;17;18;1;4,3;0;7;1,48;0,13;3,15;0;0;0,14;0;36,104;36,165;48,9;9,6;49,2;9,6;
4846;LR-103952-532-M, Lootus-20180208-2-102-42,7;LR-103952-532-M, Lootus;LR;103952;532;M, Lootus;2;103952-532-M, Lootus-2;20180208;6;42,8;102;50;50,00639959;50,00972102;50,00000484;64,66065264;50,00220895;50,00359987;50,0004;0;0,015998635;0,019717444;-0,00044;0,68681765;-0,009399723;-0,011999424;-0,003999979;0;0,016;0,01972;-0,00044;0,82;-0,0094;-0,012;-0,004;0;0,8;0,986;-0,022;41;-0,47;-0,6;-0,2;50;68;18;1,7;1,9;4,36;4,96;0,38;0,85;661;620;0,105;0,127;32,251;31,265;40,3;39,5;40,7;40,7;
4851;LR-103952-595-M, Nicolette-20180327-1-48-35,1;LR-103952-595-M, Nicolette;LR;103952;595;M, Nicolette;1;103952-595-M, Nicolette-1;20180327;13;35,5;48;17,75978603;21,64000924;13,00007446;13,000026;43,01162634;13,20715336;13,22516162;13,2018938;0,749556945;0,926371004;-0,003384602;0,001999997;-1,263750595;-0,177347749;0,184790562;0,175110988;0,930769231;1,330769231;-0,003384615;0,002;-3,153846154;-0,179230769;0,186923077;0,176923077;12,1;17,3;-0,044;0,026;-41;-2,33;2,43;2,3;13;14;1;3,3;1;3,15;0,72;0,06;2,39;530;571;0,123;0,097;32,891;32,935;28,6;11,3;27,1;15;
4873;LR-103976-154-Matilda-20171004-1-61-40,3;LR-103976-154-Matilda;LR;103976;154;Matilda;1;103976-154-Matilda-1;20171004;40;39,5;61;22,63537055;24,52835094;20,04873086;20,00017222;36,89173349;20,00756107;20,42399569;20,00899798;0,48735858;0,617405892;-0,069736731;0,004149976;-0,997830184;0,027493071;0,204117179;0,029991005;0,53;0,71;-0,06985;0,00415;-1,55;0,0275;0,207;0,03;10,6;14,2;-1,397;0,083;-31;0,55;4,14;0,6;20;27;7;2,9;2,3;6,78;2,64;0,6;0,05;541;572;0,181;0,098;32,871;34,268;36,9;22,7;37,5;26,9;
4888;LR-103976-219-Neilikka-20180406-1-93-39,2;LR-103976-219-Neilikka;LR;103976;219;Neilikka;1;103976-219-Neilikka-1;20180406;14;39,4;93;25,01999201;25,07987241;25,00478196;25,00000578;32,64965543;25,00404967;25,01007997;25,0031998;0,039978687;-0,079829986;0,019557506;0,00068;0,698659825;0,017998056;0,028392368;-0,015998635;0,04;-0,08;0,01956;0,00068;0,84;0,018;0,0284;-0,016;1;-2;0,489;0,017;21;0,45;0,71;-0,4;25;47;22;1,9;2,3;5,6;4,89;1,01;0,56;520;499;0,15;0,133;38,196;37,707;32,6;34,6;38,1;37,1;
4901;LR-104176-249-Liinu-20180508-3-40-41,4;LR-104176-249-Liinu;LR;104176;249;Liinu;3;104176-249-Liinu-3;20180508;19;40,1;40;17,97887649;19,02866259;16,236305;16,00001012;560,2285248;16,00005;16,17020717;16,01998752;0,473597529;0,571968992;-0,170818929;0,001125;1,542232669;0,002499995;0,145220464;0,049958396;0,5125;0,64375;-0,1725;0,001125;35;0,0025;0,14625;0,05;8,2;10,3;-2,76;0,018;560;0,04;2,34;0,8;16;21;5;3;2,2;5,09;2,75;0,08;0,04;560;0;0,156;0,138;28,928;31,688;29,7;19,4;27,1;18,9;
4909;LR-104225-1115-krookus-20170822-2-85-26;LR-104225-1115-krookus;LR;104225;1115;krookus;2;104225-1115-krookus-2;20170822;34;28,7;85;28,23047998;28,01446055;28,00065828;28,00004829;28;28,00271594;28,02401827;28,00017857;-0,127869919;-0,032131794;-0,006857035;0,001857141;0;-0,013927671;0,041404894;-0,003571413;-0,128571429;-0,032142857;-0,006857143;0,001857143;0;-0,013928571;0,041428571;-0,003571429;-3,6;-0,9;-0,192;0,052;0;-0,39;1,16;-0,1;28;32;4;1,9;2;3,31;2,15;0,06;0,45;0;0;0,129;0,077;30,282;30,474;26,9;27,8;24,1;27,7;
4915;LR-104225-1237-minni-20170630-1-88-19,5;LR-104225-1237-minni;LR;104225;1237;minni;1;104225-1237-minni-1;20170630;26;19,6;88;24,1611258;24,41802613;23,01288552;23,00005009;23;23,00105215;23,00782476;23,01760196;0,311279733;0,342472976;-0,033465762;-0,002086953;0;-0,009564926;0,026081041;0,039110481;0,32173913;0,356521739;-0,033478261;-0,002086957;0;-0,009565217;0,026086957;0,039130435;7,4;8,2;-0,77;-0,048;0;-0,22;0,6;0,9;23;32;9;3;2,1;3,36;2,76;0,06;0,28;0;0;0,176;0,224;28,714;29,484;18,8;10,6;19,6;12,2;
4918;LR-104225-599-aana-20170726-7-88-39,8;LR-104225-599-aana;LR;104225;599;aana;7;104225-599-aana-7;20170726;30;39;88;31,76476035;30,5424295;28,05525976;28,00000179;28;28,00011429;28,04798745;28,02570249;0,491809176;0,41091063;0,062774555;0,000357143;0;0,002857135;0,058504587;0,042830933;0,535714286;0,435714286;0,062857143;0,000357143;0;0,002857143;0,058571429;0,042857143;15;12,2;1,76;0,01;0;0,08;1,64;1,2;28;34;6;3,9;2,7;3,64;2;0,11;0,03;0;0;0,104;0,094;30,474;28,714;33,1;20,9;35,5;20,5;
4931;LR-106460-716-Jalava-20180130-4-44-46,1;LR-106460-716-Jalava;LR;106460;716;Jalava;4;106460-716-Jalava-4;20180130;5;47,3;44;40,21952262;38,39283787;16,00004753;16,00018528;17,08800749;16,11839012;16,38909699;16,05272563;1,161660361;1,140935389;0,002437495;-0,004812463;0,35877067;-0,121276897;0,218338039;0,081071913;2,30625;2,18125;0,0024375;-0,0048125;0,375;-0,121875;0,221875;0,08125;36,9;34,9;0,039;-0,077;6;-1,95;3,55;1,3;16;17;1;4,3;3;5,29;1,74;0,14;2,09;637;631;0,118;0,195;32,893;32,854;43,3;8,4;44,8;7,9;
4940;LR-108914-1019-Hattara-20170621-5-100-43,3;LR-108914-1019-Hattara;LR;108914;1019;Hattara;5;108914-1019-Hattara-5;20170621;25;45,8;100;30,22730554;30,89919093;30,01422623;30,00007482;32,31098884;30,00016667;30,11593598;30,0326489;-0,122713634;0,241838956;-0,030790266;-0,00223333;-0,380506377;-0,003333321;-0,087773892;-0,046632834;-0,123333333;0,246666667;-0,0308;-0,002233333;-0,4;-0,003333333;-0,088;-0,046666667;-3,7;7,4;-0,924;-0,067;-12;-0,1;-2,64;-1,4;30;45;15;3,7;5,1;6,23;8,87;0,11;0,21;720;732;0,146;0,213;31,378;32,302;45,8;38,4;39,9;43,6;
4960;LR-109000-627-Kierukka-20171116-3-105-45,7;LR-109000-627-Kierukka;LR;109000;627;Kierukka;3;109000-627-Kierukka-3;20171116;46;44;105;33,24154028;33,13547947;32,07991847;32,00003164;32;32,0035998;32,00012656;32,01562119;0,274167451;0,262546402;0,070601211;-0,001406249;0;-0,014998875;0,002812493;0,031239833;0,28125;0,26875;0,07071875;-0,00140625;0;-0,015;0,0028125;0,03125;9;8,6;2,263;-0,045;0;-0,48;0,09;1;32;50;18;3,1;2,1;5,82;5,73;0,17;0,65;0;0;0,138;0,183;29,772;27,509;38,8;30,2;42;33;
4976;LR-109221-304-LEONORE-20170727-2-46-43,1;LR-109221-304-LEONORE;LR;109221;304;LEONORE;2;109221-304-LEONORE-2;20170727;30;44,8;46;16,1245155;16,22467257;14,00486205;14,00012432;19,10497317;14,00028928;14,43817509;14,01285124;0,519146114;0,529849069;0,026351042;0,004214261;-0,748378048;0,006428483;0,246994451;0,042830933;0,571428571;0,585714286;0,026357143;0,004214286;-0,928571429;0,006428571;0,252142857;0,042857143;8;8,2;0,369;0,059;-13;0,09;3,53;0,6;14;18;4;3,1;2,5;7,74;4,21;0,16;0,07;628;641;0,185;0,126;32,222;31,853;42;33,8;42,2;34,2;
4980;LR-109221-320-MYRNA-20170505-1-110-37,5;LR-109221-320-MYRNA;LR;109221;320;MYRNA;1;109221-320-MYRNA-1;20170505;18;37,4;110;28,14977797;28,23047998;28,00996267;28,00001716;28,16025568;28,00314982;28,06039201;28,00446393;0,103203456;0,127869919;0,026672245;0,001107142;0,106735673;-0,014998875;0,065619937;0,017855245;0,103571429;0,128571429;0,026678571;0,001107143;0,107142857;-0,015;0,065714286;0,017857143;2,9;3,6;0,747;0,031;3;-0,42;1,84;0,5;28;65;37;2,6;2,1;7,92;6,08;0,13;0,55;575;572;0,213;0,182;34,344;33,597;37,2;33,6;37,2;34,3;
4989;LR-109221-781-LIBEX-20171102-2-49-41,3;LR-109221-781-LIBEX;LR;109221;781;LIBEX;2;109221-781-LIBEX-2;20171102;44;41,8;49;16,44506005;17,0531522;16,00148506;16,00000528;24,08318916;16,00000312;16,09005904;16,00781059;0,233179801;0,353279991;-0,013624157;0,0008125;-0,844153986;0,000625;0,105852866;0,031239833;0,2375;0,36875;-0,013625;0,0008125;-1,125;0,000625;0,10625;0,03125;3,8;5,9;-0,218;0,013;-18;0,01;1,7;0,5;16;21;5;3,1;2,6;5,99;4,29;0,1;0,09;733;751;0,152;0,139;31,539;31,757;38,2;32,3;37,5;33,7;
4993;LR-110843-651-Liia-20180213-2-75-40,2;LR-110843-651-Liia;LR;110843;651;Liia;2;110843-651-Liia-2;20180213;7;39,9;75;4,38634244;3,605551275;3,216818459;3,0000135;10,44030651;3,000016667;3,002815346;3;0,817645046;0,588002604;0,369249492;-0,002999991;1,279339532;0,003333321;0,04330624;0;1,066666667;0,666666667;0,387;-0,003;3,333333333;0,003333333;0,043333333;0;3,2;2;1,161;-0,009;10;0,01;0,13;0;3;15;12;3,7;3,7;4,66;4,53;0,11;0,1;586;576;0,126;0,135;33,849;32,688;34,4;32,4;36,9;33,7;
5008;LR-111669-738-Kupla-20180213-3-89-45,5;LR-111669-738-Kupla;LR;111669;738;Kupla;3;111669-738-Kupla-3;20180213;7;44,9;89;2,973213749;1,345362405;1,123451824;1,003115646;506,0009881;1,861424186;2,076631888;2,692582404;-1,227772386;-0,732815102;-0,473201458;0,078836266;1,568820045;1,003655078;-1,068375057;1,19028995;-2,8;-0,9;-0,512;0,079;506;1,57;-1,82;2,5;-2,8;-0,9;-0,512;0,079;506;1,57;-1,82;2,5;1;26;25;2,6;0,1;6,13;7,95;1,57;0;557;51;0,169;0,09;32,209;32,721;40,3;41,2;36,7;39,5;
5029;LR-112241-25-Meirami-20170322-1-113-25,7;LR-112241-25-Meirami;LR;112241;25;Meirami;1;112241-25-Meirami-1;20170322;12;24,9;113;36,93561966;36,138622;35,00803479;35,00002401;38,48376281;35,00036571;35,04625515;35,00014286;0,325175199;0,251689972;0,021425292;0,001171428;0,428778027;0,004571397;0,051383302;0,002857135;0,337142857;0,257142857;0,021428571;0,001171429;0,457142857;0,004571429;0,051428571;0,002857143;11,8;9;0,75;0,041;16;0,16;1,8;0,1;35;41;6;1,6;1,5;3,4;1,6;1,22;1,06;557;541;0,161;0,12;36,629;35,879;21;12;22,6;10,8;
5040;LR-112241-39-Marmori-20171128-1-47-43,8;LR-112241-39-Marmori;LR;112241;39;Marmori;1;112241-39-Marmori-1;20171128;48;43,5;47;19,0370691;17,99138683;14,02072195;14,00007889;39,56008089;14,000175;14,31782106;14,03566885;0,74452874;0,679081193;0,054374919;0,00335713;-1,209067085;0,004999958;0,211093333;0,071307465;0,921428571;0,807142857;0,054428571;0,003357143;-2,642857143;0,005;0,214285714;0,071428571;12,9;11,3;0,762;0,047;-37;0,07;3;1;14;18;4;3,3;2,3;4,81;1,81;0,11;0,04;701;738;0,121;0,074;33,729;32,967;36,6;25,3;39,3;26,4;
5044;LR-112241-56-NiinPrinsessa-20180122-1-48-42,4;LR-112241-56-NiinPrinsessa;LR;112241;56;NiinPrinsessa;1;112241-56-NiinPrinsessa-1;20180122;4;40,9;48;12,32233744;14,71869559;10,11606564;10,00015125;19,72308292;10,00220476;10,00031999;10,06031809;0,624023053;0,823840753;0,151627203;-0,005499945;-1,03907226;-0,020996914;0,007999829;0,109559527;0,72;1,08;0,1528;-0,0055;-1,7;-0,021;0,008;0,11;7,2;10,8;1,528;-0,055;-17;-0,21;0,08;1,1;10;17;7;3,4;2,3;4,25;4,17;0,09;0,3;558;575;0,116;0,171;32,792;31,264;34,7;23,9;36,3;29,1;
5059;LR-112959-888-Marilyn-20180503-1-55-35,8;LR-112959-888-Marilyn;LR;112959;888;Marilyn;1;112959-888-Marilyn-1;20180503;18;35,6;55;15,00833102;15,0029997;15,053583;15,00015413;52,20153254;15,00033333;15,14767639;15,00833102;0,033320996;0,019997334;-0,08439903;0,004533302;-1,279339532;-0,006666568;0,139749733;0,033320996;0,033333333;0,02;-0,0846;0,004533333;-3,333333333;-0,006666667;0,140666667;0,033333333;0,5;0,3;-1,269;0,068;-50;-0,1;2,11;0,5;15;20;5;2,3;1,8;5,39;3,28;0,11;0,21;533;583;0,193;0,125;26,467;27,736;27,3;27;28,1;27,6;
5068;LR-113183-712-712 JAVITA 21-20170622-3-111-38,8;LR-113183-712-712 JAVITA 21;LR;113183;712;712 JAVITA 21;3;113183-712-712 JAVITA 21-3;20170622;25;40;111;29,0428993;30,32226904;27,00117597;27,00020807;40,36087214;27,00000185;27,00644553;27,00666584;0,377309457;0,472496936;0,009333062;-0,003925906;0,837981225;0,00037037;-0,021848375;0,022218565;0,396296296;0,511111111;0,009333333;-0,003925926;1,111111111;0,00037037;-0,021851852;0,022222222;10,7;13,8;0,252;-0,106;30;0,01;-0,59;0,6;27;46;19;2,7;2,1;3,5;4,09;0,07;0,06;552;522;0,122;0,228;32,727;32,475;28,3;14,5;27,4;16,7;
5079;LR-113183-946-VALIO 28 fr-20170511-8-81-44,5;LR-113183-946-VALIO 28 fr;LR;113183;946;VALIO 28 fr;8;113183-946-VALIO 28 fr-8;20170511;19;44,2;81;31,40843836;32,34826116;30,00403413;30,00052806;116,9144987;30,0326489;30,23470853;30,01066477;0,30060567;0,383376633;0,01639853;0,005933264;-1,311295863;-0,046632834;0,124683186;0,026660348;0,31;0,403333333;0,0164;0,005933333;-3,766666667;-0,046666667;0,125333333;0,026666667;9,3;12,1;0,492;0,178;-113;-1,4;3,76;0,8;30;31;1;2,1;1,3;3,76;0;0,7;2,1;617;730;0,178;0;32,475;31,983;24,4;12,3;16,1;6,8;
5080;LR-113186-500-500 IISA 45-20160915-3-109-47,7;LR-113186-500-500 IISA 45;LR;113186;500;500 IISA 45;3;113186-500-500 IISA 45-3;20160915;38;49;109;25,1149358;25,47567467;25,06630575;25,00004232;30,23243292;25,000032;25,05505139;25,0031998;0,095706708;0,193546464;0,072751376;-0,001839998;0,597176658;-0,001599999;-0,066302672;-0,015998635;0,096;0,196;0,07288;-0,00184;0,68;-0,0016;-0,0664;-0,016;2,4;4,9;1,822;-0,046;17;-0,04;-1,66;-0,4;25;44;19;4;4,4;4,42;6,08;0,09;0,13;627;610;0,092;0,138;34,94;33,118;47,6;42,7;48,5;46,1;
5093;LR-113747-28-Legenda-20170622-2-53-42,1;LR-113747-28-Legenda;LR;113747;28;Legenda;2;113747-28-Legenda-2;20170622;25;39,8;53;14,70544117;15,11588568;14,02143448;14,000028;27,78488798;14,00000357;14,00660201;14,02283851;0,310998281;0,386648806;0,055300701;-0,001999997;1,042721878;0,000714286;-0,030704633;0,057080782;0,321428571;0,407142857;0,055357143;-0,002;1,714285714;0,000714286;-0,030714286;0,057142857;4,5;5,7;0,775;-0,028;24;0,01;-0,43;0,8;14;26;12;3,9;3,1;4,89;5,32;0,13;0,12;527;503;0,131;0,159;41,655;40,88;37,3;31,6;38,3;33,8;
5104;LR-113747-70-Minni-20180423-2-56-50,6;LR-113747-70-Minni;LR;113747;70;Minni;2;113747-70-Minni-2;20180423;17;49,4;56;17,44018349;21,4869728;14,09925175;14,00000089;14,86606875;14,00001429;14,09456988;14,02283851;0,638913985;0,861160464;-0,118724721;0,000357143;-0,34302394;0,00142857;0,115906722;0,057080782;0,742857143;1,164285714;-0,119285714;0,000357143;-0,357142857;0,001428571;0,116428571;0,057142857;10,4;16,3;-1,67;0,005;-5;0,02;1,63;0,8;14;22;8;3,9;3,1;6,36;4,73;0,1;0,08;400;405;0,157;0,152;36,721;38,391;41,2;24,9;39,9;29,5;
5107;LR-113747-789-Herttuatar-20170512-5-76-41,4;LR-113747-789-Herttuatar;LR;113747;789;Herttuatar;5;113747-789-Herttuatar-5;20170512;19;40,6;76;30,99822576;30,11992696;28,01295957;28,00001207;29,41088234;28,00017857;28,02970032;28,00874863;0,443448336;0,377423773;-0,030419185;-0,000928571;-0,310998281;-0,003571413;0,046038873;0,024994794;0,475;0,396428571;-0,030428571;-0,000928571;-0,321428571;-0,003571429;0,046071429;0,025;13,3;11,1;-0,852;-0,026;-9;-0,1;1,29;0,7;28;31;3;2,4;1,7;4,75;3,46;3,6;3,7;555;564;0,145;0,171;38,954;39,806;30,9;19,8;32,7;19,4;
5111;LR-113747-865-Illa-20180423-5-62-59,3;LR-113747-865-Illa;LR;113747;865;Illa;5;113747-865-Illa-5;20180423;17;60;62;14,10283659;14,15662389;14,09925175;14,00002414;16,64331698;14,00005714;14,09113196;14,0014285;-0,120836979;0,148889948;-0,118724721;0,001857141;-0,57133748;0,002857135;0,113792007;-0,014284743;-0,121428571;0,15;-0,119285714;0,001857143;-0,642857143;0,002857143;0,114285714;-0,014285714;-1,7;2,1;-1,67;0,026;-9;0,04;1,6;-0,2;14;28;14;3,7;3,9;7,3;5,7;0,16;0,12;474;483;0,124;0,098;36,721;38,391;56,6;54,5;56,9;58,6;
5113;LR-113747-870-Jeeti-20170622-4-49-56,9;LR-113747-870-Jeeti;LR;113747;870;Jeeti;4;113747-870-Jeeti-4;20170622;25;55;49;16,97527614;17,7428859;14,02143448;14,00000604;14,56021978;14,01602297;14,03566885;14,01748908;0,601073754;0,661537484;0,055300701;-0,000928571;0,278299659;-0,047820657;0,071307465;0,049958396;0,685714286;0,778571429;0,055357143;-0,000928571;0,285714286;-0,047857143;0,071428571;0,05;9,6;10,9;0,775;-0,013;4;-0,67;1;0,7;14;22;8;2,7;2;5,84;4,84;0,15;0,82;549;545;0,123;0,136;41,655;40,88;45,5;34,6;46,8;37,2;
5133;LR-114255-698-K, Inkivääri-20180420-5-68-55,8;LR-114255-698-K, Inkivääri;LR;114255;698;K, Inkivääri;5;114255-698-K, Inkivääri-5;20180420;16;54,9;68;39,14345411;36,67642294;31,03738921;31,00005426;31,06444913;31,00505765;31,41347482;31,03626911;0,656785968;0,563801581;0,049089562;0,001870966;0,064426839;-0,018062552;0,162427311;0,048349387;0,770967742;0,632258065;0,049129032;0,001870968;0,064516129;-0,018064516;0,163870968;0,048387097;23,9;19,6;1,523;0,058;2;-0,56;5,08;1,5;31;36;5;4;2,5;7,57;2,49;0,2;0,76;706;704;0,132;0,074;36,967;35,444;53;33,4;57,2;33,3;
5135;LR-114255-833-K, Lumi-20171109-2-69-41,8;LR-114255-833-K, Lumi;LR;114255;833;K, Lumi;2;114255-833-K, Lumi-2;20171109;45;40,4;69;15,43016526;12,64911064;12,13115168;12,000054;43,68065934;12,01352987;12,00326622;12,00166655;0,679801628;-0,321750554;0,147178018;-0,002999991;1,292496668;0,047464324;-0,0233291;0,016665124;0,808333333;-0,333333333;0,14825;-0,003;3,5;0,0475;-0,023333333;0,016666667;9,7;-4;1,779;-0,036;42;0,57;-0,28;0,2;12;39;27;2,3;2,1;6,09;6,37;1,22;0,65;631;589;0,151;0,187;32,339;30,56;33,1;37,1;41,4;31,7;
